displayValue,id,headline,headlineV2/text
Commercial and Industrial Equipment Rental,1798,Commercial and Industrial Equipment Rental,Commercial and Industrial Equipment Rental
Glass Product Manufacturing,779,Glass Product Manufacturing,Glass Product Manufacturing
Wood Product Manufacturing,784,Wood Product Manufacturing,Wood Product Manufacturing
Professional Services,1810,Professional Services,Professional Services
Lime and Gypsum Products Manufacturing,794,Lime and Gypsum Products Manufacturing,Lime and Gypsum Products Manufacturing
Abrasives and Nonmetallic Minerals Manufacturing,799,Abrasives and Nonmetallic Minerals Manufacturing,Abrasives and Nonmetallic Minerals Manufacturing
Primary Metal Manufacturing,807,Primary Metal Manufacturing,Primary Metal Manufacturing
IT System Design Services,1855,IT System Design Services,IT System Design Services
Marketing Services,1862,Marketing Services,Marketing Services
Fabricated Metal Products,840,Fabricated Metal Products,Fabricated Metal Products
Cutlery and Handtool Manufacturing,849,Cutlery and Handtool Manufacturing,Cutlery and Handtool Manufacturing
Architectural and Structural Metal Manufacturing,852,Architectural and Structural Metal Manufacturing,Architectural and Structural Metal Manufacturing
"Boilers, Tanks, and Shipping Container Manufacturing",861,"Boilers, Tanks, and Shipping Container Manufacturing","Boilers, Tanks, and Shipping Container Manufacturing"
Construction Hardware Manufacturing,871,Construction Hardware Manufacturing,Construction Hardware Manufacturing
Spring and Wire Product Manufacturing,873,Spring and Wire Product Manufacturing,Spring and Wire Product Manufacturing
Turned Products and Fastener Manufacturing,876,Turned Products and Fastener Manufacturing,Turned Products and Fastener Manufacturing
Holding Companies,1905,Holding Companies,Holding Companies
Metal Treatments,883,Metal Treatments,Metal Treatments
Industry Associations,1909,Industry Associations,Industry Associations
Landscaping Services,2934,Landscaping Services,Landscaping Services
Professional Organizations,1911,Professional Organizations,Professional Organizations
"Metal Valve, Ball, and Roller Manufacturing",887,"Metal Valve, Ball, and Roller Manufacturing","Metal Valve, Ball, and Roller Manufacturing"
Administrative and Support Services,1912,Administrative and Support Services,Administrative and Support Services
Office Administration,1916,Office Administration,Office Administration
Executive Search Services,1923,Executive Search Services,Executive Search Services
Temporary Help Services,1925,Temporary Help Services,Temporary Help Services
"Agriculture, Construction, Mining Machinery Manufacturing",901,"Agriculture, Construction, Mining Machinery Manufacturing","Agriculture, Construction, Mining Machinery Manufacturing"
Telephone Call Centers,1931,Telephone Call Centers,Telephone Call Centers
Collection Agencies,1938,Collection Agencies,Collection Agencies
Commercial and Service Industry Machinery Manufacturing,918,Commercial and Service Industry Machinery Manufacturing,Commercial and Service Industry Machinery Manufacturing
HVAC and Refrigeration Equipment Manufacturing,923,HVAC and Refrigeration Equipment Manufacturing,HVAC and Refrigeration Equipment Manufacturing
Metalworking Machinery Manufacturing,928,Metalworking Machinery Manufacturing,Metalworking Machinery Manufacturing
Security Guards and Patrol Services,1956,Security Guards and Patrol Services,Security Guards and Patrol Services
Security Systems Services,1958,Security Systems Services,Security Systems Services
Engines and Power Transmission Equipment Manufacturing,935,Engines and Power Transmission Equipment Manufacturing,Engines and Power Transmission Equipment Manufacturing
Janitorial Services,1965,Janitorial Services,Janitorial Services
Waste Collection,1981,Waste Collection,Waste Collection
Waste Treatment and Disposal,1986,Waste Treatment and Disposal,Waste Treatment and Disposal
Communications Equipment Manufacturing,964,Communications Equipment Manufacturing,Communications Equipment Manufacturing
Audio and Video Equipment Manufacturing,973,Audio and Video Equipment Manufacturing,Audio and Video Equipment Manufacturing
Education,1999,Education,Education
Measuring and Control Instrument Manufacturing,983,Measuring and Control Instrument Manufacturing,Measuring and Control Instrument Manufacturing
Secretarial Schools,2012,Secretarial Schools,Secretarial Schools
Technical and Vocational Training,2018,Technical and Vocational Training,Technical and Vocational Training
Magnetic and Optical Media Manufacturing,994,Magnetic and Optical Media Manufacturing,Magnetic and Optical Media Manufacturing
Cosmetology and Barber Schools,2019,Cosmetology and Barber Schools,Cosmetology and Barber Schools
Flight Training,2020,Flight Training,Flight Training
Electric Lighting Equipment Manufacturing,998,Electric Lighting Equipment Manufacturing,Electric Lighting Equipment Manufacturing
Fine Arts Schools,2025,Fine Arts Schools,Fine Arts Schools
Sports and Recreation Instruction,2027,Sports and Recreation Instruction,Sports and Recreation Instruction
Household Appliance Manufacturing,1005,Household Appliance Manufacturing,Household Appliance Manufacturing
Language Schools,2029,Language Schools,Language Schools
Physicians,2040,Physicians,Physicians
Courts of Law,3065,Courts of Law,Courts of Law
Correctional Institutions,3068,Correctional Institutions,Correctional Institutions
Dentists,2045,Dentists,Dentists
Fire Protection,3070,Fire Protection,Fire Protection
