displayValue,id,headline,headlineV2/text
Technology and Information,3132,Technology and Information,Technology and Information
Paper and Forest Product Manufacturing,61,Paper and Forest Product Manufacturing,Paper and Forest Product Manufacturing
Media and Telecommunications,3133,Media and Telecommunications,Media and Telecommunications
Railroad Equipment Manufacturing,62,Railroad Equipment Manufacturing,Railroad Equipment Manufacturing
Blockchain Services,3134,Blockchain Services,Blockchain Services
Farming,63,Farming,Farming
Services for the Elderly and Disabled,2112,Services for the Elderly and Disabled,Services for the Elderly and Disabled
Ranching,64,Ranching,Ranching
Dairy Product Manufacturing,65,Dairy Product Manufacturing,Dairy Product Manufacturing
Office Furniture and Fixtures Manufacturing,1090,Office Furniture and Fixtures Manufacturing,Office Furniture and Fixtures Manufacturing
Fisheries,66,Fisheries,Fisheries
Community Services,2115,Community Services,Community Services
Primary and Secondary Education,67,Primary and Secondary Education,Primary and Secondary Education
Higher Education,68,Higher Education,Higher Education
Education Administration Programs,69,Education Administration Programs,Education Administration Programs
Research Services,70,Research Services,Research Services
Mattress and Blinds Manufacturing,1095,Mattress and Blinds Manufacturing,Mattress and Blinds Manufacturing
Armed Forces,71,Armed Forces,Armed Forces
Legislative Offices,72,Legislative Offices,Legislative Offices
Administration of Justice,73,Administration of Justice,Administration of Justice
International Affairs,74,International Affairs,International Affairs
Emergency and Relief Services,2122,Emergency and Relief Services,Emergency and Relief Services
Government Administration,75,Government Administration,Government Administration
Executive Offices,76,Executive Offices,Executive Offices
Law Enforcement,77,Law Enforcement,Law Enforcement
Vocational Rehabilitation Services,2125,Vocational Rehabilitation Services,Vocational Rehabilitation Services
Public Safety,78,Public Safety,Public Safety
Public Policy Offices,79,Public Policy Offices,Public Policy Offices
Advertising Services,80,Advertising Services,Advertising Services
Child Day Care Services,2128,Child Day Care Services,Child Day Care Services
Newspaper Publishing,81,Newspaper Publishing,Newspaper Publishing
Performing Arts and Spectator Sports,2130,Performing Arts and Spectator Sports,Performing Arts and Spectator Sports
Book and Periodical Publishing,82,Book and Periodical Publishing,Book and Periodical Publishing
Printing Services,83,Printing Services,Printing Services
Information Services,84,Information Services,Information Services
Libraries,85,Libraries,Libraries
Theater Companies,2133,Theater Companies,Theater Companies
Environmental Services,86,Environmental Services,Environmental Services
Freight and Package Transportation,87,Freight and Package Transportation,Freight and Package Transportation
Dance Companies,2135,Dance Companies,Dance Companies
Individual and Family Services,88,Individual and Family Services,Individual and Family Services
Religious Institutions,89,Religious Institutions,Religious Institutions
Civic and Social Organizations,90,Civic and Social Organizations,Civic and Social Organizations
Consumer Services,91,Consumer Services,Consumer Services
Circuses and Magic Shows,2139,Circuses and Magic Shows,Circuses and Magic Shows
Truck Transportation,92,Truck Transportation,Truck Transportation
